year,Terrain_Area_Share_Percent,Recorded_Slope_Failures,rainfall_mm,month_name,district,Season,Slope_Angle_Range_Degrees,Dominant_Failure_Mechanism,Soil type,Vegetation
2025,14.2,0,208.8,April,Gangtok,Pre Mosoon,0-15,Soil creep / Surface wash,red loamy soil,Lush Himalayan Wet Temperate Forest
2025,24.8,1,208.8,April,Gangtok,Pre Mosoon,15-25,Rotational slump,red loamy soil,Lush Himalayan Wet Temperate Forest
2025,31.6,1,208.8,April,Gangtok,Pre Mosoon,25-35,Planar slide / Wedge failure,red loamy soil,Lush Himalayan Wet Temperate Forest
2025,22.1,2,208.8,April,Gangtok,Pre Mosoon,35-45,Debris flow / Translational slide,red loamy soil,Lush Himalayan Wet Temperate Forest
2025,7.3,1,208.8,April,Gangtok,Pre Mosoon,>45,Rockfall / Topple,red loamy soil,Lush Himalayan Wet Temperate Forest
2025,14.2,1,424.8,August,Gangtok,Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Deep-green Himalayan Wet Temperate Forest
2025,24.8,2,424.8,August,Gangtok,Monsoon,15-25,Rotational slump,red loamy soil,Deep-green Himalayan Wet Temperate Forest
2025,31.6,6,424.8,August,Gangtok,Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Deep-green Himalayan Wet Temperate Forest
2025,22.1,9,424.8,August,Gangtok,Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Deep-green Himalayan Wet Temperate Forest
2025,7.3,2,424.8,August,Gangtok,Monsoon,>45,Rockfall / Topple,red loamy soil,Deep-green Himalayan Wet Temperate Forest
2025,14.2,0,10.8,December,Gangtok,Winter,0-15,Soil creep / Surface wash,red loamy soil,Dormant Himalayan Wet Temperate Forest
2025,24.8,0,10.8,December,Gangtok,Winter,15-25,Rotational slump,red loamy soil,Dormant Himalayan Wet Temperate Forest
2025,31.6,0,10.8,December,Gangtok,Winter,25-35,Planar slide / Wedge failure,red loamy soil,Dormant Himalayan Wet Temperate Forest
2025,22.1,0,10.8,December,Gangtok,Winter,35-45,Debris flow / Translational slide,red loamy soil,Dormant Himalayan Wet Temperate Forest
2025,7.3,0,10.8,December,Gangtok,Winter,>45,Rockfall / Topple,red loamy soil,Dormant Himalayan Wet Temperate Forest
2025,14.2,0,54.0,February,Gangtok,Winter,0-15,Soil creep / Surface wash,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,24.8,0,54.0,February,Gangtok,Winter,15-25,Rotational slump,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,31.6,0,54.0,February,Gangtok,Winter,25-35,Planar slide / Wedge failure,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,22.1,0,54.0,February,Gangtok,Winter,35-45,Debris flow / Translational slide,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,7.3,0,54.0,February,Gangtok,Winter,>45,Rockfall / Topple,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,14.2,0,20.2,January,Gangtok,Winter,0-15,Soil creep / Surface wash,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,24.8,0,20.2,January,Gangtok,Winter,15-25,Rotational slump,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,31.6,0,20.2,January,Gangtok,Winter,25-35,Planar slide / Wedge failure,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,22.1,0,20.2,January,Gangtok,Winter,35-45,Debris flow / Translational slide,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,7.3,0,20.2,January,Gangtok,Winter,>45,Rockfall / Topple,red loamy soil,Cold Himalayan Wet Temperate Forest
2025,14.2,1,489.6,July,Gangtok,Monsoon,0-15,Soil creep / Surface wash,red loamy soil,"Saturated, completely closed-canopy Himalayan Wet Temperate Forest"
2025,24.8,4,489.6,July,Gangtok,Monsoon,15-25,Rotational slump,red loamy soil,"Saturated, completely closed-canopy Himalayan Wet Temperate Forest"
2025,31.6,9,489.6,July,Gangtok,Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,"Saturated, completely closed-canopy Himalayan Wet Temperate Forest"
2025,22.1,12,489.6,July,Gangtok,Monsoon,35-45,Debris flow / Translational slide,red loamy soil,"Saturated, completely closed-canopy Himalayan Wet Temperate Forest"
2025,7.3,4,489.6,July,Gangtok,Monsoon,>45,Rockfall / Topple,red loamy soil,"Saturated, completely closed-canopy Himalayan Wet Temperate Forest"
2025,14.2,1,439.2,June,Gangtok,Pre Mosoon,0-15,Soil creep / Surface wash,red loamy soil,Water-logged Himalayan Wet Temperate Forest
2025,24.8,3,439.2,June,Gangtok,Pre Mosoon,15-25,Rotational slump,red loamy soil,Water-logged Himalayan Wet Temperate Forest
2025,31.6,7,439.2,June,Gangtok,Pre Mosoon,25-35,Planar slide / Wedge failure,red loamy soil,Water-logged Himalayan Wet Temperate Forest
2025,22.1,12,439.2,June,Gangtok,Pre Mosoon,35-45,Debris flow / Translational slide,red loamy soil,Water-logged Himalayan Wet Temperate Forest
2025,7.3,3,439.2,June,Gangtok,Pre Mosoon,>45,Rockfall / Topple,red loamy soil,Water-logged Himalayan Wet Temperate Forest
2025,14.2,0,100.8,March,Gangtok,Pre Mosoon,0-15,Soil creep / Surface wash,red loamy soil,Awakening Himalayan Wet Temperate Forest
2025,24.8,0,100.8,March,Gangtok,Pre Mosoon,15-25,Rotational slump,red loamy soil,Awakening Himalayan Wet Temperate Forest
2025,31.6,1,100.8,March,Gangtok,Pre Mosoon,25-35,Planar slide / Wedge failure,red loamy soil,Awakening Himalayan Wet Temperate Forest
2025,22.1,1,100.8,March,Gangtok,Pre Mosoon,35-45,Debris flow / Translational slide,red loamy soil,Awakening Himalayan Wet Temperate Forest
2025,7.3,0,100.8,March,Gangtok,Pre Mosoon,>45,Rockfall / Topple,red loamy soil,Awakening Himalayan Wet Temperate Forest
2025,14.2,0,352.8,May,Gangtok,Pre Mosoon,0-15,Soil creep / Surface wash,red loamy soil,Deep green Himalayan Wet Temperate Forest
2025,24.8,1,352.8,May,Gangtok,Pre Mosoon,15-25,Rotational slump,red loamy soil,Deep green Himalayan Wet Temperate Forest
2025,31.6,3,352.8,May,Gangtok,Pre Mosoon,25-35,Planar slide / Wedge failure,red loamy soil,Deep green Himalayan Wet Temperate Forest
2025,22.1,5,352.8,May,Gangtok,Pre Mosoon,35-45,Debris flow / Translational slide,red loamy soil,Deep green Himalayan Wet Temperate Forest
2025,7.3,1,352.8,May,Gangtok,Pre Mosoon,>45,Rockfall / Topple,red loamy soil,Deep green Himalayan Wet Temperate Forest
2025,14.2,0,25.8,November,Gangtok,Post Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Thinning Himalayan Wet Temperate Forest
2025,24.8,0,25.8,November,Gangtok,Post Monsoon,15-25,Rotational slump,red loamy soil,Thinning Himalayan Wet Temperate Forest
2025,31.6,0,25.8,November,Gangtok,Post Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Thinning Himalayan Wet Temperate Forest
2025,22.1,0,25.8,November,Gangtok,Post Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Thinning Himalayan Wet Temperate Forest
2025,7.3,0,25.8,November,Gangtok,Post Monsoon,>45,Rockfall / Topple,red loamy soil,Thinning Himalayan Wet Temperate Forest
2025,14.2,0,122.4,October,Gangtok,Post Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Clear-weather Himalayan Wet Temperate Forest
2025,24.8,0,122.4,October,Gangtok,Post Monsoon,15-25,Rotational slump,red loamy soil,Clear-weather Himalayan Wet Temperate Forest
2025,31.6,1,122.4,October,Gangtok,Post Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Clear-weather Himalayan Wet Temperate Forest
2025,22.1,1,122.4,October,Gangtok,Post Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Clear-weather Himalayan Wet Temperate Forest
2025,7.3,0,122.4,October,Gangtok,Post Monsoon,>45,Rockfall / Topple,red loamy soil,Clear-weather Himalayan Wet Temperate Forest
2025,14.2,0,331.2,September,Gangtok,Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Rain-washed Himalayan Wet Temperate Forest
2025,24.8,2,331.2,September,Gangtok,Monsoon,15-25,Rotational slump,red loamy soil,Rain-washed Himalayan Wet Temperate Forest
2025,31.6,3,331.2,September,Gangtok,Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Rain-washed Himalayan Wet Temperate Forest
2025,22.1,5,331.2,September,Gangtok,Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Rain-washed Himalayan Wet Temperate Forest
2025,7.3,2,331.2,September,Gangtok,Monsoon,>45,Rockfall / Topple,red loamy soil,Rain-washed Himalayan Wet Temperate Forest
2025,13.5,0,151.2,April,Gyalshing,Pre Mosoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Peak-blooming Himalayan Wet Temperate Forest
2025,23.0,1,151.2,April,Gyalshing,Pre Mosoon,15-25,Rotational slump,brown forest & laterite soil,Peak-blooming Himalayan Wet Temperate Forest
2025,33.1,1,151.2,April,Gyalshing,Pre Mosoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Peak-blooming Himalayan Wet Temperate Forest
